permno	companyname	tickers	cc_date	window_start	window_end
12699	21Vianet Group Inc	VNET	17-Aug-2016 00:00	17-Aug-2016 00:00	31-Aug-2016 00:00
78664	3D Systems Corp	TDSS	26-Feb-2015 00:00	26-Feb-2015 00:00	12-Mar-2015 00:00
22592	3M Co	MMM	22-Oct-2015 00:00	22-Oct-2015 00:00	05-Nov-2015 00:00
22592	3M Co	MMM	23-Apr-2015 00:00	23-Apr-2015 00:00	07-May-2015 00:00
22592	3M Co	MMM	23-Jul-2015 00:00	23-Jul-2015 00:00	06-Aug-2015 00:00
22592	3M Co	MMM	23-Oct-2018 00:00	23-Oct-2018 00:00	06-Nov-2018 00:00
22592	3M Co	MMM	24-Jan-2017 00:00	24-Jan-2017 00:00	07-Feb-2017 00:00
22592	3M Co	MMM	24-Oct-2017 00:00	24-Oct-2017 00:00	07-Nov-2017 00:00
22592	3M Co	MMM	25-Apr-2017 00:00	25-Apr-2017 00:00	09-May-2017 00:00
22592	3M Co	MMM	25-Jul-2017 00:00	25-Jul-2017 00:00	08-Aug-2017 00:00
22592	3M Co	MMM	25-Oct-2016 00:00	25-Oct-2016 00:00	08-Nov-2016 00:00
22592	3M Co	MMM	26-Apr-2016 00:00	26-Apr-2016 00:00	10-May-2016 00:00
22592	3M Co	MMM	26-Jan-2016 00:00	26-Jan-2016 00:00	09-Feb-2016 00:00
85177	8x8 Inc	EGHT	24-May-2018 00:00	24-May-2018 00:00	07-Jun-2018 00:00
85177	8x8 Inc	EGHT	25-May-2017 00:00	25-May-2017 00:00	08-Jun-2017 00:00
85177	8x8 Inc	EGHT	26-Jul-2018 00:00	26-Jul-2018 00:00	09-Aug-2018 00:00
85177	8x8 Inc	EGHT	27-Jul-2017 00:00	27-Jul-2017 00:00	10-Aug-2017 00:00
85177	8x8 Inc	EGHT	29-Oct-2018 00:00	29-Oct-2018 00:00	12-Nov-2018 00:00
14495	A10 Networks Inc	002P	26-Oct-2017 00:00	26-Oct-2017 00:00	09-Nov-2017 00:00
14495	A10 Networks Inc	002P	28-Jul-2016 00:00	28-Jul-2016 00:00	11-Aug-2016 00:00
76712	AES Corp	AESC	05-Nov-2015 00:00	05-Nov-2015 00:00	19-Nov-2015 00:00
76712	AES Corp	AESC	27-Feb-2017 00:00	27-Feb-2017 00:00	13-Mar-2017 00:00
77520	AGCO Corp	AGCO	02-Feb-2016 00:00	02-Feb-2016 00:00	16-Feb-2016 00:00
77520	AGCO Corp	AGCO	03-Feb-2015 00:00	03-Feb-2015 00:00	17-Feb-2015 00:00
77520	AGCO Corp	AGCO	28-Oct-2015 00:00	28-Oct-2015 00:00	11-Nov-2015 00:00
80303	AK Steel Holding Corp	AKST	24-Jan-2017 00:00	24-Jan-2017 00:00	07-Feb-2017 00:00
80303	AK Steel Holding Corp	AKST	25-Oct-2016 00:00	25-Oct-2016 00:00	08-Nov-2016 00:00
80303	AK Steel Holding Corp	AKST	26-Jan-2016 00:00	26-Jan-2016 00:00	09-Feb-2016 00:00
80303	AK Steel Holding Corp	AKST	26-Jul-2016 00:00	26-Jul-2016 00:00	09-Aug-2016 00:00
80303	AK Steel Holding Corp	AKST	27-Oct-2015 00:00	27-Oct-2015 00:00	10-Nov-2015 00:00
80303	AK Steel Holding Corp	AKST	28-Apr-2015 00:00	28-Apr-2015 00:00	12-May-2015 00:00
80303	AK Steel Holding Corp	AKST	30-Jan-2018 00:00	30-Jan-2018 00:00	13-Feb-2018 00:00
12880	AMC Networks Inc	AMCV	03-Nov-2016 00:00	03-Nov-2016 00:00	17-Nov-2016 00:00
12880	AMC Networks Inc	AMCV	04-Aug-2016 00:00	04-Aug-2016 00:00	18-Aug-2016 00:00
12880	AMC Networks Inc	AMCV	06-Aug-2015 00:00	06-Aug-2015 00:00	20-Aug-2015 00:00
76671	ANN Inc	ANN	13-Mar-2015 00:00	13-Mar-2015 00:00	27-Mar-2015 00:00
76671	ANN Inc	ANN	22-May-2015 00:00	22-May-2015 00:00	05-Jun-2015 00:00
79564	ARRIS International plc	ANTE	01-Aug-2018 00:00	01-Aug-2018 00:00	15-Aug-2018 00:00
79564	ARRIS International plc	ANTE	01-May-2018 00:00	01-May-2018 00:00	15-May-2018 00:00
79564	ARRIS International plc	ANTE	01-Nov-2017 00:00	01-Nov-2017 00:00	15-Nov-2017 00:00
79564	ARRIS International plc	ANTE	03-May-2017 00:00	03-May-2017 00:00	17-May-2017 00:00
79564	ARRIS International plc	ANTE	22-Feb-2017 00:00	22-Feb-2017 00:00	08-Mar-2017 00:00
79564	ARRIS International plc	ANTE	26-Oct-2016 00:00	26-Oct-2016 00:00	09-Nov-2016 00:00
89789	AXIS Capital Holdings Ltd	AXS	02-Feb-2017 00:00	02-Feb-2017 00:00	16-Feb-2017 00:00
89789	AXIS Capital Holdings Ltd	AXS	03-Feb-2016 00:00	03-Feb-2016 00:00	17-Feb-2016 00:00
89789	AXIS Capital Holdings Ltd	AXS	08-Feb-2018 00:00	08-Feb-2018 00:00	22-Feb-2018 00:00
89789	AXIS Capital Holdings Ltd	AXS	25-Oct-2018 00:00	25-Oct-2018 00:00	08-Nov-2018 00:00
89789	AXIS Capital Holdings Ltd	AXS	26-Apr-2018 00:00	26-Apr-2018 00:00	10-May-2018 00:00
89789	AXIS Capital Holdings Ltd	AXS	26-Jul-2018 00:00	26-Jul-2018 00:00	09-Aug-2018 00:00
89789	AXIS Capital Holdings Ltd	AXS	27-Apr-2016 00:00	27-Apr-2016 00:00	11-May-2016 00:00
89789	AXIS Capital Holdings Ltd	AXS	27-Jul-2016 00:00	27-Jul-2016 00:00	10-Aug-2016 00:00
89789	AXIS Capital Holdings Ltd	AXS	27-Oct-2016 00:00	27-Oct-2016 00:00	10-Nov-2016 00:00
13721	AbbVie Inc	ABBV	02-Nov-2018 00:00	02-Nov-2018 00:00	16-Nov-2018 00:00
13721	AbbVie Inc	ABBV	26-Apr-2018 00:00	26-Apr-2018 00:00	10-May-2018 00:00
13721	AbbVie Inc	ABBV	27-Apr-2017 00:00	27-Apr-2017 00:00	11-May-2017 00:00
